,Layers,alphas,sigmas,densities,Total nodes,Train length,rhos,seed,Nodes per layer,Initial transient,R_scalings,Train time,Error,_runtime,_wandb,Total time,_step,sgmds,_timestamp,Test length,Resized,Test time
0,1,1,0.6495272331976769,0.08806283546126249,2000,60000,0.9891090033310164,8692,2000,0,0.9641446527944456,88.408245893,0.0307,100.20728707313538,{'runtime': 98},96.072560795,1,['<PyCall.jlwrap tanh>'],1696920818.7557092,10000,14,7.664274332
1,2,"[1, 1]","[0.8494836678803716, 0.7380339728147935]","[0.14234141269449152, 0.17842679882178034]",4000,60000,"[0.676578354043392, 1.164907985565589]",9139,"[2000, 2000]",0,"[0.8683881706608612, 1.0542581013030363]",115.036159513,0.0461,136.12883234024048,{'runtime': 132},127.310715031,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696920711.9499943,10000,14,12.274508363
2,3,"[1, 1, 1]","[1.3707849760142496, 1.488331426323865, 1.3313479894283042]","[0.018301448697589477, 0.04516623870345927, 0.1467283504294026]",6000,60000,"[1.0538297420247071, 0.8313405239830102, 1.3287547258668218]",3794,"[2000, 2000, 2000]",0,"[0.7816397223334405, 0.7000333857454298, 1.083980453499432]",143.053115277,0.0655,169.5915744304657,{'runtime': 168},160.122877449,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696920568.1713114,10000,14,17.06964439
3,4,"[1, 1, 1, 1]","[1.3619672950301775, 1.2398574399802436, 1.1207885243856164, 1.1750685826529523]","[0.16379571578001423, 0.1993487196673867, 0.17842357931913927, 0.02694390245858228]",8000,60000,"[0.5068774525614842, 1.2498633965921302, 1.2953242808500662, 1.315581910112614]",2066,"[2000, 2000, 2000, 2000]",0,"[1.3977409836728447, 1.369677031920738, 0.640055099716447, 1.297046082656455]",174.148961579,0.0855,208.65364623069763,{'runtime': 207},196.77795105,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696920391.997316,10000,14,22.628918352
4,5,"[1, 1, 1, 1, 1]","[0.7241207461608417, 0.7321045885615132, 1.1757805959951082, 0.8426267191668412, 1.3205626059614546]","[0.16912271758159375, 0.06357220887492093, 0.09212575386927144, 0.0605637372862627, 0.195187618312455]",10000,60000,"[0.5980277016120621, 1.0584522963370808, 0.979494801665371, 1.1361300218685138, 0.5028110989545796]",354,"[2000, 2000, 2000, 2000, 2000]",0,"[1.3940751877296953, 0.972293510375436, 1.470053258968331, 0.7571692386100105, 0.9447034492624832]",207.355909555,0.094,247.01116800308228,{'runtime': 245},235.92280864,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696920176.60548,10000,14,28.566860762
5,6,"[1, 1, 1, 1, 1, 1]","[0.9668980996575064, 1.3190180624988483, 1.059036159116758, 0.8498267192179152, 1.2718125377421972, 1.0649900116741633]","[0.17461960868547147, 0.18495035522535824, 0.03589615532254421, 0.09462411448356745, 0.10285862906977816, 0.10570978704064728]",12000,60000,"[0.9328258823307264, 1.4674253294212267, 1.0100583571855566, 1.131385714278368, 0.5396462974414223, 0.5738517510358337]",9066,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.643441852565454, 1.3775975188152674, 1.1832112994187125, 1.4545576786083674, 0.7497320634505168, 1.0387700466910958]",247.461458533,0.1071,298.4722056388855,{'runtime': 297},285.235500283,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696919924.1727855,10000,14,37.773970058
6,7,"[1, 1, 1, 1, 1, 1, 1]","[0.9431464862317054, 1.343105287110134, 0.7733127810554715, 1.4807087436244624, 1.3743026614293354, 1.3773539673961814, 0.5381987750233278]","[0.08720768329247863, 0.11002887987978632, 0.06095285719447318, 0.0676111628917897, 0.04344803557535734, 0.1913238194173995, 0.06707790038737758]",14000,60000,"[1.480182523115106, 1.292372882982109, 1.379421305547792, 1.1188710534763184, 0.6581979599386962, 1.338193999622088, 0.689250049419775]",2895,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.7539486456835075, 1.2598623919011236, 0.9065917244469808, 0.944295642952848, 1.283321884257084, 0.930190951309915, 0.9813882603776808]",283.005376366,0.1149,346.02710127830505,{'runtime': 344},325.087096009,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696919619.2761102,10000,14,42.081679341
7,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[0.8971802375408828, 0.8351121742955055, 1.0691106499218772, 1.1686569622626208, 1.053771407956087, 1.0922022858203946, 0.568789548416601, 1.0619340261757624]","[0.1892167537216202, 0.05050407382599346, 0.1828867765053718, 0.13927201807117345, 0.10872327535741458, 0.1392410650140035, 0.018620133579692257, 0.08711233607259652]",16000,60000,"[1.1514827023737444, 0.5171731468346621, 1.3894544508322602, 0.9808129146018496, 0.5457016839564341, 1.0232072120537907, 0.8399096262473895, 1.243013254781546]",8687,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5066010076085662, 1.246060978830557, 0.8463119951996122, 1.169543411864229, 1.3932238363309712, 0.9820202852572072, 0.7132008916070305, 0.5806386375254248]",355.402173214,0.123,432.1343138217926,{'runtime': 430},410.480512241,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696918334.7975678,10000,14,55.078284916
8,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.048304483864671, 0.9950415771924828, 0.7952399225511402, 1.0639511715195686, 0.7408228607255953, 1.2256618852002026, 0.5121486658697951, 0.5082925875442358, 1.457754687811263]","[0.1825184537038099, 0.12898359789447664, 0.04448014256436542, 0.020392677046127357, 0.0980534787963936, 0.14405976032872406, 0.0649515778568552, 0.05706665925697873, 0.01325007508547406]",18000,60000,"[1.0282396489313297, 0.6301876822069399, 1.1730280451038206, 1.1678589831325774, 1.1989406189103, 1.000250158489711, 1.467777500975972, 0.5857778422275773, 1.3954230808600667]",8999,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.116744182669872, 0.8126424073234243, 0.8415790355132242, 1.1317988602001283, 0.7299942566853633, 0.8532217103330406, 1.1998479864879634, 1.4180421722631331, 1.01872708052556]",387.125969384,0.1294,470.91465759277344,{'runtime': 469},447.229078031,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696917891.1545217,10000,14,60.103064354
9,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4168065684363378, 0.9651369888036656, 0.8831794117419244, 0.7888853980433256, 1.1475722344571857, 0.769954029741337, 1.4032391057916054, 1.3289838637238405, 0.8898565966648648, 0.7298866132035422]","[0.07113784052518364, 0.0637263094193199, 0.05646086287714678, 0.09141522801624728, 0.054101870293877544, 0.09266310824990442, 0.08344533000712423, 0.18820645428913915, 0.01748439220140272, 0.13458858453718509]",20000,60000,"[1.0120053874818478, 0.6116641549281041, 1.4709999990627542, 1.0628553468055577, 1.117048265991673, 0.8041664303711706, 1.27272124285275, 0.9869119902126352, 1.262768314156235, 0.5011463094457769]",2476,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8438027476641743, 1.079510546509999, 1.4225950460677343, 1.0283307516161453, 1.1578997835377725, 0.7213430248781193, 1.3523922247921554, 0.5150383673175123, 0.594170637390138, 1.3187241740627775]",439.926371566,0.1306,536.3078625202179,{'runtime': 535},505.663123369,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696917408.7885776,10000,14,65.605201293
10,1,1,0.7465877687104446,0.1137022671606,2000,60000,1.445028232234553,7609,2000,0,0.5099487680061838,88.914304906,0.0328,100.58446478843688,{'runtime': 99},96.635888978,1,['<PyCall.jlwrap tanh>'],1696880332.0350497,10000,14,7.721513298
11,2,"[1, 1]","[0.7122388125229974, 1.1244927472192894]","[0.13845198767856892, 0.15878073390224332]",4000,60000,"[1.0501415160832128, 1.0629239215321546]",7205,"[2000, 2000]",0,"[1.285847647909334, 0.612489827850715]",115.35593705,0.0448,134.3323929309845,{'runtime': 133},127.683119615,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696880226.871488,10000,14,12.327104508
12,3,"[1, 1, 1]","[1.2408860303545874, 0.5517953555986601, 0.7547874831586955]","[0.06069579894640383, 0.1696926606188203, 0.01659039455761206]",6000,60000,"[1.27364035722173, 1.0031111732438491, 1.4557358833141711]",3949,"[2000, 2000, 2000]",0,"[0.8318670339492963, 1.2718870120332284, 0.6327743825681357]",143.399219986,0.0623,170.1634955406189,{'runtime': 168},160.61187222,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696880088.1023176,10000,14,17.212574757
13,4,"[1, 1, 1, 1]","[1.39533998633124, 0.6057041783911068, 0.5554091672951578, 1.469236464359965]","[0.09176517371344552, 0.08086480120517454, 0.1867513020598519, 0.13152054811822125]",8000,60000,"[0.9914085812932866, 0.926922604163655, 0.9469372102771908, 1.3167819218999908]",5106,"[2000, 2000, 2000, 2000]",0,"[0.7958706062815036, 1.153319669927539, 0.9481309349107954, 0.781696757508475]",172.970298465,0.0837,208.00033950805664,{'runtime': 206},195.305326649,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879912.6894076,10000,14,22.334982718
14,5,"[1, 1, 1, 1, 1]","[1.428695538750996, 0.6601129890651541, 1.4482771904071283, 0.6743304799464395, 1.0301537372229248]","[0.08943572277785115, 0.06362068160158697, 0.16040051650123271, 0.07491654908949878, 0.13210858730054467]",10000,60000,"[0.6682218594293124, 1.4047886769198044, 0.8021165728716588, 0.7476543664435634, 0.9051009488989736]",1019,"[2000, 2000, 2000, 2000, 2000]",0,"[1.2181467421757708, 0.5634769737639002, 1.3557822380911533, 0.8084620702456013, 0.866244337200973]",204.439525901,0.0948,247.17643928527832,{'runtime': 246},232.905795717,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879700.2053552,10000,14,28.466194853
15,6,"[1, 1, 1, 1, 1, 1]","[1.0381808601435, 0.6824714677688222, 0.8978594845125518, 1.152148951498832, 0.8778017439744251, 0.5705292373595576]","[0.17111668531499458, 0.14264506811820152, 0.05324994208423231, 0.05642117454965001, 0.015257202340721586, 0.18380799164330305]",12000,60000,"[1.355633827701842, 0.6618314689435099, 1.1762789258597957, 1.4533228720574105, 1.0870514795061448, 1.4904641916092949]",9316,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8062537196537731, 1.1867900684425892, 0.7992328547512246, 0.7294438888129954, 0.7578554539673471, 1.1309700056240728]",241.391967556,0.1117,293.41084265708923,{'runtime': 292},276.896387434,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879448.7171266,10000,14,35.504375163
16,7,"[1, 1, 1, 1, 1, 1, 1]","[1.066683404535332, 1.2104208695263243, 1.3397926672982847, 1.1681926758897636, 1.2011126978776303, 0.6817286836371106, 0.690550196112928]","[0.17367448720975634, 0.11364494206158454, 0.08381247724261012, 0.12379345777364537, 0.07931548421953294, 0.01374003503144565, 0.10465709900828685]",14000,60000,"[0.5843168511843311, 0.6076070748924266, 1.4193463283837042, 0.8678354519386958, 0.6865964504462284, 1.2144247380763833, 1.3724395640202762]",5726,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.1925746049362158, 0.931292363677582, 0.8069531345784, 1.426218222678456, 0.6849793014391407, 1.3026131750882026, 0.5100923087835607]",280.62031375,0.1208,339.5986216068268,{'runtime': 338},322.821255725,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696879150.9509475,10000,14,42.200898744
17,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[1.100289477004721, 0.8851364450806938, 1.152367265084277, 0.7980278900340836, 1.0980897537891776, 0.6330393184467256, 0.6021374626821312, 0.8260830314638727]","[0.01829413912409558, 0.15668426594970936, 0.11886893152372646, 0.18917342301810905, 0.05091266751978502, 0.06515133447884452, 0.17777716782620784, 0.04294451794796904]",16000,60000,"[0.7189868299200227, 1.1128507869494326, 0.9556358654696712, 1.110557176045697, 0.6017559562016729, 0.5377917107158517, 0.7454713547626217, 0.7186135121744394]",3319,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2936471497773043, 0.7952158649984589, 1.1681026699455912, 1.168555341450964, 0.5188775749090206, 1.1319473139597136, 1.027125015045444, 0.8062032727734993]",314.751249868,0.1212,380.12483739852905,{'runtime': 378},361.027498756,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696878806.5830925,10000,14,46.276206498
18,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.6061010077049531, 0.759784282339651, 0.8129065962984621, 1.1509283367294003, 1.329311601671549, 1.4863914955148858, 0.9499189183320448, 0.710864213612198, 1.022919281085469]","[0.042395282893359046, 0.034481396285142164, 0.06233385922756811, 0.0919419469208244, 0.1974773760629513, 0.19771496641782885, 0.13209714985534432, 0.0481149682114137, 0.19557043223327128]",18000,60000,"[1.450286369451267, 1.0531809293937189, 1.2470376133305676, 1.407419626291302, 0.7683737350980833, 1.0143289108124498, 1.494138707979546, 1.30210184319158, 1.1106571655209243]",7119,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6288478816723152, 1.3223164323302825, 0.8235999189703931, 1.0018570098334327, 0.8670914802908471, 0.8297345864390112, 1.1116042114361393, 0.6532036268786585, 0.9537496707991304]",350.22723345,0.1278,423.0867614746094,{'runtime': 421},402.162928471,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696878421.6328094,10000,14,51.935648433
19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.7983501027099617, 1.411767100818888, 0.9580704812673064, 0.6405097605357174, 1.01777338297459, 1.206450335816113, 1.2820699949569612, 0.6779504150693912, 1.355683718198098, 1.348491500729493]","[0.1659572116986801, 0.06879473957918301, 0.144635043389514, 0.03749457824352562, 0.08919844500563016, 0.145174562895401, 0.026992403984570507, 0.03716410592236507, 0.048052593834500154, 0.024853465809051328]",20000,60000,"[0.5244195507997279, 1.0769665976243457, 1.190676375953935, 0.9649043585378472, 1.4346421165964949, 0.7790347333698296, 0.6036110145692357, 0.949756909189306, 1.4860736150516194, 1.3375014465878046]",1412,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.9544989645805804, 1.3544875242932013, 0.7301612729782275, 1.2189290762698848, 1.079789171372561, 1.2057924050558158, 1.4870024583486543, 0.7666253796624547, 0.7946924376175043, 0.8592673705473645]",375.374783148,0.1335,453.6433789730072,{'runtime': 452},431.367459649,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696877992.644061,10000,14,55.992632067
20,1,1,1.3610739426890568,0.09700995748930712,2000,60000,0.533695356550944,7714,2000,0,1.495216934786892,88.399862133,0.0341,100.19340777397156,{'runtime': 98},96.23807062,1,['<PyCall.jlwrap tanh>'],1696877167.8189728,10000,14,7.838164964
21,2,"[1, 1]","[0.5886744893903418, 1.1784906055415283]","[0.01571880971484415, 0.194402750609484]",4000,60000,"[1.3406276949040143, 1.1071906526382196]",2942,"[2000, 2000]",0,"[1.4562094724861545, 0.9550048784204968]",115.787909762,0.0437,135.6634612083435,{'runtime': 133},128.227642397,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696877062.8388922,10000,14,12.43968814
22,3,"[1, 1, 1]","[0.9651406227031588, 0.9028085980848588, 0.9354514111079456]","[0.1159864099337946, 0.04807927468367296, 0.11225123724230995]",6000,60000,"[1.229876999468044, 1.2931738181184875, 1.302006901333386]",6303,"[2000, 2000, 2000]",0,"[0.7166333796234433, 0.937367607954002, 1.247182203470906]",143.346206113,0.0634,169.99099135398865,{'runtime': 168},160.453525383,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876922.4300914,10000,14,17.107273592
23,4,"[1, 1, 1, 1]","[0.982396464568296, 0.5569130504957898, 1.4147483148956326, 1.1675767093405165]","[0.07838044849749616, 0.1935318003397933, 0.06689568589965053, 0.11473626733393366]",8000,60000,"[1.2920862053847646, 1.3737198470808525, 0.938783797380765, 1.4538365629279912]",5617,"[2000, 2000, 2000, 2000]",0,"[0.960529601566385, 1.193890170383218, 1.192593319609858, 1.2670185149993831]",172.883728162,0.076,207.8098759651184,{'runtime': 206},195.204742398,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876747.49865,10000,14,22.320944793
24,5,"[1, 1, 1, 1, 1]","[0.8732782632251966, 1.2507796556253623, 1.391758849890671, 1.4418627620240727, 1.0370180350970877]","[0.02676641261770856, 0.11265710797755116, 0.12625500769450146, 0.07981444672308952, 0.12878201835510825]",10000,60000,"[1.157526657706259, 1.074782960148951, 1.288575619784365, 1.287568370905291, 0.6543854413883595]",5704,"[2000, 2000, 2000, 2000, 2000]",0,"[0.5482210032117941, 0.9301044894622392, 1.0681087287311963, 0.6402162915786583, 0.9168807287007888]",205.998007639,0.0963,249.56214785575867,{'runtime': 248},235.075581837,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876535.61267,10000,14,29.077528029
25,6,"[1, 1, 1, 1, 1, 1]","[0.9561421935183988, 1.025945220333801, 1.294350012210823, 1.3640074125900163, 0.8225884352095284, 0.9787094692158964]","[0.07626824212789306, 0.10405082194444584, 0.17987069298879346, 0.13040160388626434, 0.06415722912341473, 0.13029345317663485]",12000,60000,"[0.6649162741400078, 1.193270599990015, 1.1756223947884226, 0.5016737622493164, 0.9079620275775664, 1.1783713125509436]",6138,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5388272818635125, 1.4806831571451542, 1.4857005397587344, 1.4292294945838262, 0.6212804475217687, 0.6950471414315985]",235.796563363,0.1111,288.82822585105896,{'runtime': 287},271.618893388,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876279.884374,10000,14,35.822281613
